region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
CAR,Baguio,WCC,-,-,-,-,-,-,-,-,-,-,-,-,0
CAR,Baguio,A. Spirit,-,-,-,-,-,-,-,-,-,-,-,-,0
CAR,Baguio,G. Aviation,156,114,246,193,111,25,2,55,49,91,61,106,1209
CAR,Baguio,Military,16,88,183,52,42,21,32,64,174,66,88,-,826
I (Ilocos Norte),Laoag  (International),Far East Trans,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag  (International),Cebu Pacific,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag  (International),China S. Air,1734,733,733,-,-,-,-,-,-,-,-,-,3200
I (Ilocos Norte),Laoag  (International),Hongkong Express,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag  (International),Mandarin Airlines,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag  (International),Air Macao,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag  (Domestic),Philippine Airlines,11172,10244,10244,13966,12898,9569,9291,8467,7486,10084,11047,13590,128058
I (Ilocos Norte),Laoag  (Domestic),Air Philippines,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag  (Domestic),Cebu Pacific,7598,7104,7104,7756,8671,6244,4107,3005,2445,3387,3286,3075,63782
I (Ilocos Norte),Laoag  (Domestic),WCC,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag  (Domestic),aeroflite av. Corp,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag  (Domestic),Far East Avia.,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag  (Domestic),Paco,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag  (Domestic),Batanes Air,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag  (Domestic),Sky Pasada,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag  (Domestic),G. Aviation,14,4,-,-,-,12,9,-,-,-,-,1358,1397
I (Ilocos Norte),Laoag  (Domestic),Military,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Lingayen,G. Aviation,1736,1561,1719,1654,2009,1677,1653,1758,1643,1865,2138,1358,20771
I (Ilocos Norte),Lingayen,Military,-,-,-,-,-,-,-,-,88,-,-,-,88
I (Ilocos Norte),Rosales,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Vigan,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Vigan,Lion Air,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Vigan,North South Air,-,319,187,-,131,710,119,526,94,-,-,-,2086
I (Ilocos Norte),Vigan,G. Aviation,-,657,733,784,750,-,433,82,732,654,485,-,5310
I (Ilocos Norte),Vigan,Military,-,-,-,-,26,22,-,-,55,90,-,-,193
II (Cagayan Valley),Bagabag,G. Aviation,-,-,22,-,5,-,-,23,-,26,-,22,98
II (Cagayan Valley),Bagabag,Cyclone Air,-,12,-,26,-,-,-,-,32,-,-,-,70
II (Cagayan Valley),Bagabag,Military,-,-,-,-,-,-,-,-,-,14,-,-,14
II (Cagayan Valley),Basco,Philippine Airlines Express,3539,3237,4069,6944,6321,3138,2478,1708,1722,1657,3080,4297,42190
II (Cagayan Valley),Basco,WCC,451,280,405,651,842,396,348,245,356,421,471,627,5493
II (Cagayan Valley),Basco,North Sky Air,392,279,245,340,188,59,11,17,13,20,143,183,1890
II (Cagayan Valley),Basco,Skyjet,93,1042,1504,1770,1432,1256,382,584,527,1028,-,1040,10658
II (Cagayan Valley),Basco,USMC,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Basco,Military,32,-,-,28,25,-,-,9,-,-,12,-,106
II (Cagayan Valley),Basco,G. Aviation,-,56,127,131,-,13,-,15,-,4,-,-,346
II (Cagayan Valley),Cauayan,Cyclone flying,28,46,-,18,10,72,10,34,2,34,114,50,418
II (Cagayan Valley),Cauayan,Cebu Pacific,3500,3437,-,3808,3850,4049,4221,4467,3907,4693,4299,4695,44926
II (Cagayan Valley),Cauayan,Philippine Airlines Express,-,-,-,-,70,-,-,-,-,-,-,-,70
II (Cagayan Valley),Cauayan,Cyclone Airways,704,703,-,916,1353,976,921,835,543,427,698,468,8544
II (Cagayan Valley),Cauayan,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Cauayan,WCC,675,-,-,860,511,311,-,-,-,-,2,-,2359
II (Cagayan Valley),Cauayan,North Sky Air,-,-,-,-,-,8,-,-,-,-,-,-,8
II (Cagayan Valley),Cauayan,G. Aviation,26,22,-,103,191,48,16,32,7,16,29,94,584
II (Cagayan Valley),Itbayat,Sky Pasada,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Itbayat,North Sky Air,256,-,114,213,83,-,-,-,-,-,94,89,849
II (Cagayan Valley),Itbayat,Air Republic ,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Itbayat,Mid Sea Express,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Itbayat,G. Aviation,-,-,-,33,-,-,-,-,-,-,-,-,33
II (Cagayan Valley),Itbayat,Cyclone Air,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Palanan,Cyclone Air,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Palanan,WCC,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Palanan,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Palanan,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Tuguegarao (International),Cebu Pacific,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Tuguegarao (International),G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
II (Cagayan Valley),Tuguegarao (International),Military,-,-,-,-,-,-,-,-,-,-,-,-,0
