region,subregion,country,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
A S I A,ASEAN,BRUNEI,645,709,840,,676,"1,003",607,742,627,739,653,678
A S I A,ASEAN,CAMBODIA,219,233,245,,366,325,267,295,311,276,319,414
A S I A,ASEAN,INDONESIA,"3,949","3,615","4,235",,"3,705","4,035","3,772","4,233","4,528","3,832","4,238","4,086"
A S I A,ASEAN,LAOS,93,97,119,,104,139,87,98,111,105,91,91
A S I A,ASEAN,MALAYSIA,"12,256","11,188","13,892",,"13,089","14,690","12,851","12,981","13,048","13,189","11,936","13,544"
A S I A,ASEAN,MYANMAR,593,579,682,,565,662,649,622,435,515,586,621
A S I A,ASEAN,SINGAPORE,"12,995","14,279","16,942",,"15,816","17,363","15,422","14,585","14,515","14,122","14,366","14,928"
A S I A,ASEAN,THAILAND,"3,426","3,759","4,059",,"4,429","3,541","3,422","3,351","3,569","3,418","3,961","3,637"
A S I A,ASEAN,VIETNAM,"2,807","2,811","2,858",,"2,761","2,884","2,607","2,810","2,189","2,283","2,618","2,508"
A S I A,EAST ASIA,CHINA,"21,164","41,812","30,067",,"33,250","31,537","32,495","66,689","65,403","51,378","42,073","37,329"
A S I A,EAST ASIA,HONGKONG,"7,858","13,171","10,483",,"12,031","10,586","8,656","10,661","10,202","10,160","10,267","8,574"
A S I A,EAST ASIA,JAPAN,"38,190","45,299","46,885",,"37,228","37,102","32,560","41,620","55,997","45,934","36,332","35,612"
A S I A,EAST ASIA,KOREA,"147,163","121,218","93,099",,"90,465","94,086","96,954","119,292","139,472","95,386","102,057","105,330"
A S I A,EAST ASIA,MACAU,577,793,833,,"1,028",903,722,993,"1,012",856,"1,000",627
A S I A,EAST ASIA,TAIWAN,"11,804","15,198","14,711",,"13,859","13,790","16,038","18,833","16,397","14,564","15,337","13,399"
A S I A,SOUTH ASIA,BANGLADESH,311,268,411,,321,450,332,568,407,328,415,489
A S I A,SOUTH ASIA,INDIA,"6,221","5,244","6,415",,"6,335","7,030","5,848","5,565","5,837","6,070","6,590","7,108"
A S I A,SOUTH ASIA,IRAN,213,140,258,,195,315,359,143,124,129,208,233
A S I A,SOUTH ASIA,NEPAL,360,305,203,,186,242,271,176,232,203,249,202
A S I A,SOUTH ASIA,PAKISTAN,391,338,419,,337,466,328,324,412,328,337,364
A S I A,SOUTH ASIA,SRI LANKA,384,391,423,,450,562,493,349,427,328,516,544
A S I A,MIDDLE EAST,BAHRAIN,302,225,271,,327,287,275,423,361,327,268,197
A S I A,MIDDLE EAST,EGYPT,135,142,151,,152,102,138,140,165,112,123,96
A S I A,MIDDLE EAST,JORDAN,67,58,61,,51,58,81,64,49,53,39,47
A S I A,MIDDLE EAST,KUWAIT,495,409,381,,444,458,417,622,586,482,384,356
A S I A,MIDDLE EAST,QATAR*,302,313,423,,426,384,299,442,380,429,318,303
A S I A,MIDDLE EAST,SAUDI ARABIA,"4,154","3,798","4,446",,"3,447","3,995","2,341","7,098","5,532","5,642","3,886","3,680"
A S I A,MIDDLE EAST,UNITED ARAB EMIRATES,"1,169","1,170","1,728",,"1,626","1,455","1,181","1,822","1,451","1,318","1,313","1,147"
A M E R I C A,NORTH AMERICA,CANADA,"17,922","13,146","15,688",,"13,990","13,152","8,255","11,250","8,890","7,559","11,051","12,196"
A M E R I C A,NORTH AMERICA,MEXICO,307,235,267,,243,222,264,338,290,241,230,293
A M E R I C A,NORTH AMERICA,USA,"76,896","65,330","71,831",,"69,520","67,199","65,173","65,218","50,050","46,291","59,150","55,451"
A M E R I C A,SOUTH AMERICA,ARGENTINA,202,181,260,,210,135,96,94,78,101,125,111
A M E R I C A,SOUTH AMERICA,BRAZIL,309,337,319,,353,266,260,234,271,253,249,341
A M E R I C A,SOUTH AMERICA,COLOMBIA,134,94,119,,109,88,111,103,80,117,99,89
A M E R I C A,SOUTH AMERICA,PERU,46,39,42,,46,46,39,41,65,45,39,52
A M E R I C A,SOUTH AMERICA,VENEZUELA,17,19,15,,12,20,18,16,23,25,12,25
E U R O P E,WESTERN EUROPE,ANDORRA,30,41,24,,38,41,26,36,25,9,18,24
E U R O P E,WESTERN EUROPE,AUSTRIA,"1,617","1,310","1,112",,961,749,606,"1,310",753,564,794,814
E U R O P E,WESTERN EUROPE,BELGIUM,"1,000","1,031","1,203",,"1,098",881,"1,041","1,668",828,717,871,974
E U R O P E,WESTERN EUROPE,FRANCE,"4,418","5,821","4,735",,"4,362","3,478","2,421","3,772","2,954","2,212","2,962","3,271"
