"year","month","region","subregion","country","passenger_count","ctry_cntr_long","ctry_cntr_lat"
2014,"january","Africa","Africa","Nigeria",0,-152.464510556622,9.04612284069098
2014,"january","Africa","Africa","South Africa",0,-132.876814159292,-28.5941592920354
2014,"january","America","North America","Canada",16413,112.832333696838,48.1319847328244
2014,"january","America","North America","Mexico",236,100.133599574015,20.7982747603834
2014,"january","America","North America","USA",71042,104.870802407222,37.4450351053159
2014,"january","America","South America","Argentina",143,137.710731707317,-33.5251219512195
2014,"january","America","South America","Brazil",317,153.832635897436,-17.5192102564103
2014,"january","America","South America","Colombia",122,125.168682877406,5.70347517730496
2014,"january","America","South America","Peru",37,123.582095588235,-9.93136029411765
2014,"january","America","South America","Venezuela",29,131.974711538462,9.79432692307692
2014,"january","Asia","ASEAN","Brunei",709,-45.374,4.73
2014,"january","Asia","ASEAN","Cambodia",254,-55.1844,12.2416
2014,"january","Asia","ASEAN","Indonesia",3789,-49.7179831932773,-5.32147058823529
2014,"january","Asia","ASEAN","Laos",60,-55.9455555555555,18.0761111111111
2014,"january","Asia","ASEAN","Malaysia",8697,-56.2003067484662,3.87441717791411
2014,"january","Asia","ASEAN","Myanmar",504,-63.8993939393939,18.9172727272727
2014,"january","Asia","ASEAN","Singapore",13399,-56.15,1.3
2014,"january","Asia","ASEAN","Thailand",3593,-58.8763822525597,14.4172354948805
2014,"january","Asia","ASEAN","Vietnam",2321,-53.5057352941176,16.3188235294118
2014,"january","Asia","East Asia","China",49538,-44.1156278026906,34.0535201793722
2014,"january","Asia","East Asia","Hongkong",11587,NA,NA
2014,"january","Asia","East Asia","Japan",35160,-23.1284684684684,35.605975975976
2014,"january","Asia","East Asia","Korea",118308,-32.3073484848485,36.3019696969697
2014,"january","Asia","East Asia","Macau",705,NA,NA
2014,"january","Asia","East Asia","Taiwan",12448,-39.2136734693877,24.0868367346939
2014,"january","Asia","Middle East","Bahrain",294,-109.447272727273,26.1736363636364
2014,"january","Asia","Middle East","Egypt",153,-128.630588235294,29.4472549019608
2014,"january","Asia","Middle East","Jordan",104,-124.15642384106,32.0415894039735
2014,"january","Asia","Middle East","Kuwait",488,-112.027714285714,29.2714285714286
2014,"january","Asia","Middle East","Qatar",249,-108.735555555556,25.3366666666667
2014,"january","Asia","Middle East","Saudi Arabia",3949,-115.712795698925,23.777311827957
2014,"january","Asia","Middle East","United Arab Emirates",1082,-104.391111111111,25.18
2014,"january","Asia","South Asia","Bangladesh",286,-69.7788111888112,23.7406293706294
2014,"january","Asia","South Asia","India",5472,-80.6390758047767,21.5019210799585
2014,"january","Asia","South Asia","Iran",254,-108.556127819549,33.8924812030075
2014,"january","Asia","South Asia","Nepal",235,-75.3217307692308,27.6073076923077
2014,"january","Asia","South Asia","Pakistan",424,-89.0981339712919,29.9402631578947
2014,"january","Asia","South Asia","Sri Lanka",288,-79.6352112676057,7.26901408450704
2014,"january","Australasia & The Pacific","Australasia & The Pacific","Australia",0,-15.7823004694836,-30.319014084507
2014,"january","Australasia & The Pacific","Australasia & The Pacific","Guam",0,-15.2292592592593,13.4496296296296
2014,"january","Australasia & The Pacific","Australasia & The Pacific","Nauru",0,6.90999999999997,-0.55
2014,"january","Australasia & The Pacific","Australasia & The Pacific","New Zealand",0,13.6360507246377,-40.5059420289855
2014,"january","Australasia & The Pacific","Australasia & The Pacific","Papua New Guinea",0,-13.0243902439024,-6.12756097560976
2014,"january","Europe","Eastern Europe","Commonwealth Of Independent States",811,NA,NA
2014,"january","Europe","Eastern Europe","Poland",769,-141.010615034169,51.843735763098
2014,"january","Europe","Eastern Europe","Russian Federation",5463,-104.664588832487,53.6329137055838
2014,"january","Europe","Eastern Mediterranean Europe","Israel",747,-124.919067357513,32.3195336787565
2014,"january","Europe","Eastern Mediterranean Europe","Turkey",406,-125.645423514539,39.2837547408344
2014,"january","Europe","Northern Europe","Denmark",1822,-149.482451612903,55.8588709677419
2014,"january","Europe","Northern Europe","Finland",705,-135.20176744186,62.2486046511628
2014,"january","Europe","Northern Europe","Ireland",929,-167.659333333333,53.1170909090909
2014,"january","Europe","Northern Europe","Norway",1882,-149.670952380952,62.0989355742297
2014,"january","Europe","Northern Europe","Sweden",3011,-144.479326923077,58.9549038461538
2014,"january","Europe","Northern Europe","United Kingdom",11098,-161.96267027027,52.9356972972973
2014,"january","Europe","Southern Europe","Greece",173,-136.79204,38.98216
2014,"january","Europe","Southern Europe","Italy",2377,-147.610994923858,42.7972182741117
2014,"january","Europe","Southern Europe","Portugal",157,-168.546278538813,39.9041552511416
2014,"january","Europe","Southern Europe","Spain",1612,-162.8159375,40.0899421296296
2014,"january","Europe","Western Europe","Andorra",383,-158.461428571429,42.5342857142857
2014,"january","Europe","Western Europe","Austria",1546,-145.891361702128,47.6804680851064
2014,"january","Europe","Western Europe","Belgium",916,-155.426974637681,50.7387862318841
2014,"january","Europe","Western Europe","France",4257,-157.2156,47.37819
2014,"january","Europe","Western Europe","Germany",7616,-150.696603206413,50.8155811623246
2014,"january","Europe","Western Europe","Luxembourg",52,-153.907505285412,49.7718181818182
2014,"january","Europe","Western Europe","Netherlands",2161,-154.601603773585,52.0650943396226
2014,"january","Europe","Western Europe","Switzerland",2723,-151.942360774818,47.0366101694915
2014,"january","Others & Unspecified","Others & Unspecified","Residences",0,NA,NA
2014,"february","Africa","Africa","Nigeria",487,-152.464510556622,9.04612284069098
2014,"february","Africa","Africa","South Africa",298,-132.876814159292,-28.5941592920354
2014,"february","America","North America","Canada",12093,112.832333696838,48.1319847328244
2014,"february","America","North America","Mexico",154,100.133599574015,20.7982747603834
2014,"february","America","North America","USA",60936,104.870802407222,37.4450351053159
2014,"february","America","South America","Argentina",111,137.710731707317,-33.5251219512195
2014,"february","America","South America","Brazil",222,153.832635897436,-17.5192102564103
2014,"february","America","South America","Colombia",66,125.168682877406,5.70347517730496
2014,"february","America","South America","Peru",51,123.582095588235,-9.93136029411765
2014,"february","America","South America","Venezuela",21,131.974711538462,9.79432692307692
2014,"february","Asia","ASEAN","Brunei",758,-45.374,4.73
2014,"february","Asia","ASEAN","Cambodia",216,-55.1844,12.2416
2014,"february","Asia","ASEAN","Indonesia",4090,-49.7179831932773,-5.32147058823529
2014,"february","Asia","ASEAN","Laos",57,-55.9455555555555,18.0761111111111
2014,"february","Asia","ASEAN","Malaysia",11044,-56.2003067484662,3.87441717791411
2014,"february","Asia","ASEAN","Myanmar",438,-63.8993939393939,18.9172727272727
2014,"february","Asia","ASEAN","Singapore",14139,-56.15,1.3
2014,"february","Asia","ASEAN","Thailand",4089,-58.8763822525597,14.4172354948805
2014,"february","Asia","ASEAN","Vietnam",2847,-53.5057352941176,16.3188235294118
2014,"february","Asia","East Asia","China",49479,-44.1156278026906,34.0535201793722
2014,"february","Asia","East Asia","Hongkong",9573,NA,NA
2014,"february","Asia","East Asia","Japan",40223,-23.1284684684684,35.605975975976
2014,"february","Asia","East Asia","Korea",102523,-32.3073484848485,36.3019696969697
2014,"february","Asia","East Asia","Macau",650,NA,NA
2014,"february","Asia","East Asia","Taiwan",12167,-39.2136734693877,24.0868367346939
2014,"february","Asia","Middle East","Bahrain",316,-109.447272727273,26.1736363636364
2014,"february","Asia","Middle East","Egypt",175,-128.630588235294,29.4472549019608
2014,"february","Asia","Middle East","Jordan",57,-124.15642384106,32.0415894039735
2014,"february","Asia","Middle East","Kuwait",419,-112.027714285714,29.2714285714286
2014,"february","Asia","Middle East","Qatar",275,-108.735555555556,25.3366666666667
2014,"february","Asia","Middle East","Saudi Arabia",2988,-115.712795698925,23.777311827957
2014,"february","Asia","Middle East","United Arab Emirates",1075,-104.391111111111,25.18
2014,"february","Asia","South Asia","Bangladesh",214,-69.7788111888112,23.7406293706294
2014,"february","Asia","South Asia","India",3751,-80.6390758047767,21.5019210799585
2014,"february","Asia","South Asia","Iran",108,-108.556127819549,33.8924812030075
2014,"february","Asia","South Asia","Nepal",194,-75.3217307692308,27.6073076923077
2014,"february","Asia","South Asia","Pakistan",294,-89.0981339712919,29.9402631578947
2014,"february","Asia","South Asia","Sri Lanka",196,-79.6352112676057,7.26901408450704
2014,"february","Australasia & The Pacific","Australasia & The Pacific","Australia",20747,-15.7823004694836,-30.319014084507
2014,"february","Australasia & The Pacific","Australasia & The Pacific","Guam",3159,-15.2292592592593,13.4496296296296
2014,"february","Australasia & The Pacific","Australasia & The Pacific","Nauru",0,6.90999999999997,-0.55
2014,"february","Australasia & The Pacific","Australasia & The Pacific","New Zealand",1425,13.6360507246377,-40.5059420289855
2014,"february","Australasia & The Pacific","Australasia & The Pacific","Papua New Guinea",571,-13.0243902439024,-6.12756097560976
2014,"february","Europe","Eastern Europe","Commonwealth Of Independent States",510,NA,NA
2014,"february","Europe","Eastern Europe","Poland",931,-141.010615034169,51.843735763098
2014,"february","Europe","Eastern Europe","Russian Federation",3679,-104.664588832487,53.6329137055838
2014,"february","Europe","Eastern Mediterranean Europe","Israel",877,-124.919067357513,32.3195336787565
2014,"february","Europe","Eastern Mediterranean Europe","Turkey",366,-125.645423514539,39.2837547408344
2014,"february","Europe","Northern Europe","Denmark",1742,-149.482451612903,55.8588709677419
2014,"february","Europe","Northern Europe","Finland",670,-135.20176744186,62.2486046511628
2014,"february","Europe","Northern Europe","Ireland",735,-167.659333333333,53.1170909090909
2014,"february","Europe","Northern Europe","Norway",1759,-149.670952380952,62.0989355742297
2014,"february","Europe","Northern Europe","Sweden",2649,-144.479326923077,58.9549038461538
2014,"february","Europe","Northern Europe","United Kingdom",12223,-161.96267027027,52.9356972972973
2014,"february","Europe","Southern Europe","Greece",189,-136.79204,38.98216
2014,"february","Europe","Southern Europe","Italy",1827,-147.610994923858,42.7972182741117
2014,"february","Europe","Southern Europe","Portugal",166,-168.546278538813,39.9041552511416
2014,"february","Europe","Southern Europe","Spain",1273,-162.8159375,40.0899421296296
2014,"february","Europe","Western Europe","Andorra",328,-158.461428571429,42.5342857142857
2014,"february","Europe","Western Europe","Austria",1348,-145.891361702128,47.6804680851064
2014,"february","Europe","Western Europe","Belgium",868,-155.426974637681,50.7387862318841
2014,"february","Europe","Western Europe","France",4223,-157.2156,47.37819
2014,"february","Europe","Western Europe","Germany",7779,-150.696603206413,50.8155811623246
2014,"february","Europe","Western Europe","Luxembourg",57,-153.907505285412,49.7718181818182
2014,"february","Europe","Western Europe","Netherlands",2000,-154.601603773585,52.0650943396226
2014,"february","Europe","Western Europe","Switzerland",2425,-151.942360774818,47.0366101694915
2014,"february","Others & Unspecified","Others & Unspecified","Residences",4600,NA,NA
2014,"march","Africa","Africa","Nigeria",101,-152.464510556622,9.04612284069098
2014,"march","Africa","Africa","South Africa",325,-132.876814159292,-28.5941592920354
2014,"march","America","North America","Canada",0,112.832333696838,48.1319847328244
2014,"march","America","North America","Mexico",264,100.133599574015,20.7982747603834
2014,"march","America","North America","USA",0,104.870802407222,37.4450351053159
2014,"march","America","South America","Argentina",105,137.710731707317,-33.5251219512195
2014,"march","America","South America","Brazil",242,153.832635897436,-17.5192102564103
2014,"march","America","South America","Colombia",67,125.168682877406,5.70347517730496
2014,"march","America","South America","Peru",31,123.582095588235,-9.93136029411765
2014,"march","America","South America","Venezuela",27,131.974711538462,9.79432692307692
2014,"march","Asia","ASEAN","Brunei",1013,-45.374,4.73
2014,"march","Asia","ASEAN","Cambodia",311,-55.1844,12.2416
2014,"march","Asia","ASEAN","Indonesia",4403,-49.7179831932773,-5.32147058823529
2014,"march","Asia","ASEAN","Laos",114,-55.9455555555555,18.0761111111111
2014,"march","Asia","ASEAN","Malaysia",0,-56.2003067484662,3.87441717791411
2014,"march","Asia","ASEAN","Myanmar",556,-63.8993939393939,18.9172727272727
2014,"march","Asia","ASEAN","Singapore",0,-56.15,1.3
2014,"march","Asia","ASEAN","Thailand",4717,-58.8763822525597,14.4172354948805
2014,"march","Asia","ASEAN","Vietnam",2805,-53.5057352941176,16.3188235294118
2014,"march","Asia","East Asia","China",0,-44.1156278026906,34.0535201793722
2014,"march","Asia","East Asia","Hongkong",9262,NA,NA
2014,"march","Asia","East Asia","Japan",0,-23.1284684684684,35.605975975976
2014,"march","Asia","East Asia","Korea",0,-32.3073484848485,36.3019696969697
2014,"march","Asia","East Asia","Macau",711,NA,NA
2014,"march","Asia","East Asia","Taiwan",0,-39.2136734693877,24.0868367346939
2014,"march","Asia","Middle East","Bahrain",320,-109.447272727273,26.1736363636364
2014,"march","Asia","Middle East","Egypt",167,-128.630588235294,29.4472549019608
2014,"march","Asia","Middle East","Jordan",79,-124.15642384106,32.0415894039735
2014,"march","Asia","Middle East","Kuwait",344,-112.027714285714,29.2714285714286
