"country","date","region","subregion","passenger_count","ctry_cntr_long","ctry_cntr_lat"
"Korea",2014-01-01,"Asia","East Asia",118308,-32.3073484848485,36.3019696969697
"Korea",2014-02-01,"Asia","East Asia",102523,-32.3073484848485,36.3019696969697
"Korea",2014-04-01,"Asia","East Asia",79408,-32.3073484848485,36.3019696969697
"Korea",2014-05-01,"Asia","East Asia",73984,-32.3073484848485,36.3019696969697
"Korea",2014-06-01,"Asia","East Asia",79054,-32.3073484848485,36.3019696969697
"Korea",2014-07-01,"Asia","East Asia",94694,-32.3073484848485,36.3019696969697
"Korea",2014-08-01,"Asia","East Asia",114257,-32.3073484848485,36.3019696969697
"Korea",2014-09-01,"Asia","East Asia",121624,-32.3073484848485,36.3019696969697
"Korea",2014-10-01,"Asia","East Asia",82098,-32.3073484848485,36.3019696969697
"Korea",2014-11-01,"Asia","East Asia",92339,-32.3073484848485,36.3019696969697
"Korea",2014-12-01,"Asia","East Asia",100243,-32.3073484848485,36.3019696969697
"Korea",2015-02-01,"Asia","East Asia",121218,-32.3073484848485,36.3019696969697
"Korea",2015-03-01,"Asia","East Asia",93099,-32.3073484848485,36.3019696969697
"Korea",2015-05-01,"Asia","East Asia",90465,-32.3073484848485,36.3019696969697
"Korea",2015-06-01,"Asia","East Asia",94086,-32.3073484848485,36.3019696969697
"Korea",2015-07-01,"Asia","East Asia",96954,-32.3073484848485,36.3019696969697
"Korea",2015-08-01,"Asia","East Asia",119292,-32.3073484848485,36.3019696969697
"Korea",2015-09-01,"Asia","East Asia",139472,-32.3073484848485,36.3019696969697
"Korea",2015-10-01,"Asia","East Asia",95386,-32.3073484848485,36.3019696969697
"Korea",2015-11-01,"Asia","East Asia",102057,-32.3073484848485,36.3019696969697
"Korea",2015-12-01,"Asia","East Asia",105330,-32.3073484848485,36.3019696969697
"Korea",2016-01-01,"Asia","East Asia",147165,-32.3073484848485,36.3019696969697
"Korea",2016-02-01,"Asia","East Asia",137598,-32.3073484848485,36.3019696969697
"Korea",2016-03-01,"Asia","East Asia",98781,-32.3073484848485,36.3019696969697
"Korea",2016-04-01,"Asia","East Asia",98052,-32.3073484848485,36.3019696969697
"Korea",2016-05-01,"Asia","East Asia",94736,-32.3073484848485,36.3019696969697
"Korea",2016-06-01,"Asia","East Asia",109786,-32.3073484848485,36.3019696969697
"Korea",2016-07-01,"Asia","East Asia",142793,-32.3073484848485,36.3019696969697
"Korea",2016-08-01,"Asia","East Asia",147588,-32.3073484848485,36.3019696969697
"Korea",2016-09-01,"Asia","East Asia",115147,-32.3073484848485,36.3019696969697
"Korea",2016-10-01,"Asia","East Asia",112508,-32.3073484848485,36.3019696969697
"Korea",2016-11-01,"Asia","East Asia",127547,-32.3073484848485,36.3019696969697
"Korea",2016-12-01,"Asia","East Asia",143380,-32.3073484848485,36.3019696969697
"Korea",2017-01-01,"Asia","East Asia",154367,-32.3073484848485,36.3019696969697
"Korea",2017-02-01,"Asia","East Asia",150685,-32.3073484848485,36.3019696969697
"Korea",2017-03-01,"Asia","East Asia",135813,-32.3073484848485,36.3019696969697
"Korea",2017-04-01,"Asia","East Asia",117074,-32.3073484848485,36.3019696969697
"Korea",2017-05-01,"Asia","East Asia",128691,-32.3073484848485,36.3019696969697
"Korea",2017-06-01,"Asia","East Asia",108455,-32.3073484848485,36.3019696969697
"Korea",2017-07-01,"Asia","East Asia",132135,-32.3073484848485,36.3019696969697
"Korea",2017-08-01,"Asia","East Asia",141869,-32.3073484848485,36.3019696969697
"Korea",2017-09-01,"Asia","East Asia",123834,-32.3073484848485,36.3019696969697
"Korea",2017-10-01,"Asia","East Asia",139218,-32.3073484848485,36.3019696969697
"Korea",2018-01-01,"Asia","East Asia",198145,-32.3073484848485,36.3019696969697
"Korea",2018-02-01,"Asia","East Asia",156555,-32.3073484848485,36.3019696969697
"Korea",2018-04-01,"Asia","East Asia",122387,-32.3073484848485,36.3019696969697
"Korea",2018-05-01,"Asia","East Asia",114973,-32.3073484848485,36.3019696969697
"Korea",2018-06-01,"Asia","East Asia",113488,-32.3073484848485,36.3019696969697
"Korea",2018-07-01,"Asia","East Asia",111640,-32.3073484848485,36.3019696969697
"Korea",2018-08-01,"Asia","East Asia",127190,-32.3073484848485,36.3019696969697
"Korea",2018-09-01,"Asia","East Asia",129734,-32.3073484848485,36.3019696969697
"Korea",2018-10-01,"Asia","East Asia",125236,-32.3073484848485,36.3019696969697
"Korea",2018-11-01,"Asia","East Asia",122390,-32.3073484848485,36.3019696969697
