"month","region","subregion","country","ctry_cntr_long","ctry_cntr_lat","y2014","y2015","y2016","y2017","y2018"
"january","Africa","Africa","Nigeria",-152.464510556622,9.04612284069098,0,0,0,0,0
"january","Africa","Africa","South Africa",-132.876814159292,-28.5941592920354,0,0,0,0,0
"january","America","North America","Canada",112.832333696838,48.1319847328244,16413,17922,21108,24352,28913
"january","America","North America","Mexico",100.133599574015,20.7982747603834,236,307,285,366,318
"january","America","North America","USA",104.870802407222,37.4450351053159,71042,76896,84506,99435,109154
"january","America","South America","Argentina",137.710731707317,-33.5251219512195,143,202,392,533,586
"january","America","South America","Brazil",153.832635897436,-17.5192102564103,317,309,412,719,776
"january","America","South America","Colombia",125.168682877406,5.70347517730496,122,134,135,182,152
"january","America","South America","Peru",123.582095588235,-9.93136029411765,37,46,67,80,82
"january","America","South America","Venezuela",131.974711538462,9.79432692307692,29,17,26,35,37
"january","Asia","ASEAN","Brunei",-45.374,4.73,709,645,526,706,702
"january","Asia","ASEAN","Cambodia",-55.1844,12.2416,254,219,301,223,306
"january","Asia","ASEAN","Indonesia",-49.7179831932773,-5.32147058823529,3789,3949,4590,4138,6464
"january","Asia","ASEAN","Laos",-55.9455555555555,18.0761111111111,60,93,102,48,64
"january","Asia","ASEAN","Malaysia",-56.2003067484662,3.87441717791411,8697,12256,11068,10215,12012
"january","Asia","ASEAN","Myanmar",-63.8993939393939,18.9172727272727,504,593,597,659,650
"january","Asia","ASEAN","Singapore",-56.15,1.3,13399,12995,13404,12000,13627
"january","Asia","ASEAN","Thailand",-58.8763822525597,14.4172354948805,3593,3426,4035,3644,4359
"january","Asia","ASEAN","Vietnam",-53.5057352941176,16.3188235294118,2321,2807,2564,3767,3147
"january","Asia","East Asia","China",-44.1156278026906,34.0535201793722,49538,21164,48708,85948,111344
"january","Asia","East Asia","Hongkong",NA,NA,11587,7858,8132,10006,9284
"january","Asia","East Asia","Japan",-23.1284684684684,35.605975975976,35160,38190,41691,51516,57038
"january","Asia","East Asia","Korea",-32.3073484848485,36.3019696969697,118308,147163,147165,154367,198145
"january","Asia","East Asia","Macau",NA,NA,705,577,700,760,796
"january","Asia","East Asia","Taiwan",-39.2136734693877,24.0868367346939,12448,11804,15523,21926,18948
"january","Asia","Middle East","Bahrain",-109.447272727273,26.1736363636364,294,302,314,308,312
"january","Asia","Middle East","Egypt",-128.630588235294,29.4472549019608,153,135,161,175,175
