region,subregion,country,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
A S I A,ASEAN,BRUNEI,526,761,907,640,710,557,682,554,770,523,748,833
A S I A,ASEAN,CAMBODIA,301,261,272,354,294,348,286,265,281,228,388,248
A S I A,ASEAN,INDONESIA,"4,590","4,234","4,026","4,075","4,585","4,206","3,305","2,400","2,584","3,057","3,589","3,697"
A S I A,ASEAN,LAOS,102,114,78,127,104,114,80,71,82,87,153,61
A S I A,ASEAN,MALAYSIA,"11,068","12,922","12,611","12,234","12,076","11,386","12,022","10,810","10,533","10,571","11,844","11,056"
A S I A,ASEAN,MYANMAR,597,437,614,694,554,820,595,584,589,600,748,610
A S I A,ASEAN,SINGAPORE,"13,404","14,972","16,065","16,592","14,723","16,324","14,153","14,008","13,190","12,914","14,849","14,863"
A S I A,ASEAN,THAILAND,"4,035","3,744","4,071","4,805","4,048","4,072","3,985","3,788","3,831","3,819","4,174","3,541"
A S I A,ASEAN,VIETNAM,"2,564","3,053","2,588","2,921","3,102","3,653","3,040","2,743","2,486","2,528","2,877","2,340"
A S I A,EAST ASIA,CHINA,"48,708","82,208","53,596","54,011","46,825","55,610","81,843","61,766","53,015","44,542","48,203","45,336"
A S I A,EAST ASIA,HONGKONG,"8,132","12,643","11,974","9,125","9,355","10,289","10,672","9,142","8,504","8,977","8,482","9,033"
A S I A,EAST ASIA,JAPAN,"41,691","50,840","51,093","39,996","39,422","37,614","44,434","62,054","43,525","38,086","42,506","43,977"
A S I A,EAST ASIA,KOREA,"147,165","137,598","98,781","98,052","94,736","109,786","142,793","147,588","115,147","112,508","127,547","143,380"
A S I A,EAST ASIA,MACAU,700,942,752,771,701,834,838,764,717,829,631,768
A S I A,EAST ASIA,TAIWAN,"15,523","19,821","16,758","19,554","18,136","22,333","23,894","21,498","20,773","18,327","16,905","15,781"
A S I A,SOUTH ASIA,BANGLADESH,407,345,460,342,370,327,423,336,399,397,372,338
A S I A,SOUTH ASIA,INDIA,"8,954","6,224","6,943","7,457","7,245","7,471","9,202","6,595","6,673","7,089","9,516","7,447"
A S I A,SOUTH ASIA,IRAN,179,151,368,258,210,405,167,212,161,175,250,184
A S I A,SOUTH ASIA,NEPAL,282,188,298,334,320,333,393,280,248,222,305,246
A S I A,SOUTH ASIA,PAKISTAN,388,251,366,383,372,354,403,403,310,377,387,262
A S I A,SOUTH ASIA,SRI LANKA,474,406,434,481,426,571,458,343,539,499,402,377
A S I A,MIDDLE EAST,BAHRAIN,314,292,253,320,301,193,528,366,265,308,247,302
A S I A,MIDDLE EAST,EGYPT,161,130,199,202,141,104,253,176,136,157,133,193
A S I A,MIDDLE EAST,JORDAN,89,51,61,72,60,52,62,46,48,60,46,71
A S I A,MIDDLE EAST,KUWAIT,460,411,400,503,574,479,898,748,596,448,602,530
A S I A,MIDDLE EAST,QATAR*,386,346,414,468,427,271,646,323,481,335,330,318
A S I A,MIDDLE EAST,SAUDI ARABIA,"4,286","3,587","4,418","4,301","4,310","1,666","8,880","7,904","5,226","3,887","5,195","2,421"
A S I A,MIDDLE EAST,UNITED ARAB EMIRATES,"1,223","1,283","1,790","1,775","1,495","1,162","2,180","1,467","1,629","1,048","1,230","1,352"
A M E R I C A,NORTH AMERICA,CANADA,"21,108","15,665","16,528","14,987","14,052","9,072","12,558","10,104","9,548","13,113","15,035","23,861"
A M E R I C A,NORTH AMERICA,MEXICO,285,223,217,249,227,233,279,218,235,233,304,221
A M E R I C A,NORTH AMERICA,USA,"84,506","71,290","75,437","72,718","73,644","76,575","74,899","55,080","51,866","67,994","67,840","97,614"
A M E R I C A,SOUTH AMERICA,ARGENTINA,392,338,310,243,191,116,114,105,100,141,161,158
A M E R I C A,SOUTH AMERICA,BRAZIL,412,422,346,319,317,313,274,249,317,415,541,595
A M E R I C A,SOUTH AMERICA,COLOMBIA,135,81,113,84,100,129,97,93,153,170,139,137
A M E R I C A,SOUTH AMERICA,PERU,67,40,58,44,44,52,35,35,39,60,65,42
A M E R I C A,SOUTH AMERICA,VENEZUELA,26,24,32,26,21,25,32,20,22,15,19,9
E U R O P E,WESTERN EUROPE,ANDORRA,19,23,28,28,25,24,36,48,39,51,21,22
E U R O P E,WESTERN EUROPE,AUSTRIA,"1,716","1,349","1,257",998,705,623,"1,277",914,608,828,"1,007","1,805"
E U R O P E,WESTERN EUROPE,BELGIUM,"1,151","1,266","1,635","1,025",964,"1,071","1,956",782,856,"1,064","1,091","1,616"
E U R O P E,WESTERN EUROPE,FRANCE,"5,356","7,146","5,915","5,563","4,356","2,809","4,233","3,325","2,360","3,905","4,348","6,068"
E U R O P E,WESTERN EUROPE,GERMANY,"8,337","9,869","10,415","7,018","5,901","4,082","6,112","5,814","4,779","6,598","7,357","10,081"
E U R O P E,WESTERN EUROPE,LUXEMBOURG,89,79,101,63,46,48,63,92,45,50,50,107
E U R O P E,WESTERN EUROPE,NETHERLANDS,"3,240","2,809","2,872","2,848","2,319","1,788","3,282","2,080","1,555","2,409","2,882","3,792"
E U R O P E,WESTERN EUROPE,SWITZERLAND,"3,432","3,062","2,896","2,738","2,024","1,294","2,581","1,372","1,384","2,362","2,475","3,800"
E U R O P E,NORTHERN EUROPE,DENMARK,"2,477","2,286","2,013","1,276",986,"1,040","1,821",811,819,"1,108","1,335","2,077"
E U R O P E,NORTHERN EUROPE,FINLAND,"1,049",729,602,382,378,409,295,239,304,472,584,875
E U R O P E,NORTHERN EUROPE,IRELAND,"1,249",944,"1,686","1,122","1,261","1,643","1,922","1,105",835,"1,153","1,301","2,336"
E U R O P E,NORTHERN EUROPE,NORWAY,"2,198","1,912","2,245","1,274","1,174","2,642","2,769",959,992,"1,286","1,486","2,669"
E U R O P E,NORTHERN EUROPE,SWEDEN,"3,569","3,504","2,797","1,718","1,264","1,638","1,442",828,909,"1,642","2,210","4,541"
E U R O P E,NORTHERN EUROPE,UNITED KINGDOM,"15,072","13,166","20,859","13,942","13,236","10,598","16,980","13,682","9,261","13,116","13,797","19,590"
E U R O P E,SOUTHERN EUROPE,GREECE,231,252,225,187,192,149,176,123,136,196,346,270
E U R O P E,SOUTHERN EUROPE,ITALY,"2,778","2,480","2,159","1,922","1,546","1,461","2,074","2,428","1,324","1,766","2,308","3,699"
E U R O P E,SOUTHERN EUROPE,PORTUGAL,297,424,316,238,181,180,193,194,152,241,357,226
E U R O P E,SOUTHERN EUROPE,SPAIN,"2,833","2,259","2,656","2,186","1,803","1,763","3,470","3,951","1,798","2,650","3,254","3,474"
E U R O P E,EASTERN EUROPE,COMMONWEALTH OF INDEPENDENT STATES,"1,314","1,120",906,860,832,699,745,741,626,651,908,940
E U R O P E,EASTERN EUROPE,RUSSIAN FEDERATION,"4,310","3,050","2,150","1,988","1,426","1,005","1,082","1,069","1,253","2,814","4,065","3,998"
E U R O P E,EASTERN EUROPE,POLAND,"1,284","1,323",960,653,567,353,365,365,394,607,"1,247",775
E U R O P E,EASTERN MEDITERRANEAN EUROPE**,ISRAEL,"1,620","1,678","1,643","1,713","1,120",629,891,934,"1,611","2,072","1,307","1,507"
E U R O P E,EASTERN MEDITERRANEAN EUROPE**,TURKEY,954,994,690,568,527,514,721,483,615,584,653,581
AUSTRALASIA/PACIFIC,AUSTRALASIA/PACIFIC,AUSTRALIA,,"25,274","18,438","23,553","21,231","19,886","17,827","19,232","15,575","17,584","20,220","19,618"
AUSTRALASIA/PACIFIC,AUSTRALASIA/PACIFIC,GUAM,,"2,485","2,430","3,089","3,095","3,792","4,629","4,688","3,108","2,670","2,675","2,880"
AUSTRALASIA/PACIFIC,AUSTRALASIA/PACIFIC,NAURU,,2,- ,1,-,2,3,-,4,-,5,-
AUSTRALASIA/PACIFIC,AUSTRALASIA/PACIFIC,NEW ZEALAND,,"2,011","1,283","1,724","1,991","1,774","1,840","1,975","1,535","1,621","1,829","2,143"
AUSTRALASIA/PACIFIC,AUSTRALASIA/PACIFIC,PAPUA NEW GUINEA,,568,537,553,589,755,756,675,567,822,603,564
A F R I C A,A F R I C A,NIGERIA,,163,90,105,129,187,164,144,141,108,109,83
A F R I C A,A F R I C A,SOUTH AFRICA,,435,350,559,436,361,362,426,359,345,353,409
OTHERS & UNSPECIFIED,OTHERS & UNSPECIFIED,RESIDENCES,,"6,679","6,044","5,651","5,098","4,126","4,151","4,269","3,424","3,379","3,999","5,409"
T O T A L,T O T A L,T O T A L,,"525,832","537,194","485,892","452,396","427,934","444,043","541,298","490,190","414,202","432,157","472,258"
