province,foreign,ofw,domestic,total
NCR (National Capital Region),848152,168,568755,1417075
Caloocan City,,,,
Las Piñas City,,,,
Makati City,,,,
Malabon City,,,,
Mandaluyong City,,,,
Manila,,,,
Marikina City,,,,
Muntinlupa City,,,,
Navotas City,,,,
Parañaque City,,,,
Pasay City,,,,
Pasig City,,,,
Quezon City,,,,
San Juan City,,,,
Taguig City,,,,
Valenzuela City,,,,
Pateros,,,,
CAR (Cordillera Administrative Region),88808,659,1402582,1492049
Abra,689,,20713,21402
Apayao,58,154,5479,5691
Benguet,3659,94,82785,86538
Baguio City,31159,253,1083852,1115264
Ifugao,29516,158,39302,68976
Kalinga,15006,,104788,119794
Mountain Province,8721,,65663,74384
Region I  (ILOCOS REGION),68261,3013,1553531,1624805
Ilocos Norte,35755,50,458129,493934
Batac,,,,
Currimao,,,,
Laoag City,12955,50,197875,210880
Pagudpud,21494,,236925,258419
Paoay,,,,0
Pasuquin,,,,0
San Nicolas,1306,,23329,24635
Ilocos Sur,12251,0,244162,256413
Candon City,608,,15316,15924
Sinait,,,,0
Vigan City,11643,,228846,240489
La Union,12705,2963,382311,397979
Agoo,-,,42877,42877
Aringay,-,,3992,3992
Bacnotan,-,,2691,2691
Baloaon,27,30,2864,2921
Bauang,1874,,19110,20984
Caba,7,,282,289
Luna,-,,0,0
Naguilian,67,,119,186
Pugo,853,,3346,4199
Rosario,9,,3891,3900
San Fernando City,8324,2933,69667,80924
San Juan,1284,,202869,204153
Santol,-,,27718,27718
Sto. Tomas,40,,115,155
Sudipen,220,,2556,2776
Tubao,,,214,214
Pangasinan,7550,,468929,476479
Alaminos,4086,,44677,48763
Anda,54,,8680,8734
Bolinao,2172,,64474,66646
Dagupan City,557,,63037,63594
Dasol,5,,314,319
Lingayen,564,,191763,192327
San Fabian,112,,33520,33632
Urdaneta City,,,62464,62464
Region II  (CAGAYAN VALLEY),202180,1959,588250,792389
Batanes,508,-,25382,25890
Cagayan,195857,951,241891,438699
Tuguegarao City,2885,381,134283,137549
Others,192972,570,107608,301150
Isabela,5324,1008,183500,189832
Cauayan City,1310,751,75211,77272
Ilagan City,42,4,18874,18920
Santiago City,1455,28,69987,71470
Others,2517,225,19428,22170
Nueva Vizcaya,491,-,131682,132173
Quirino,-,-,5795,5795
Region III  (CENTRAL LUZON),782499,31027,2782571,3596097
Aurora,255,-,154271,154526
Bataan,23233,-,221070,244303
Bulacan,701,,80553,81254
Nueva Ecija,18,,25969,25987
Pampanga,489321,-,512659,1001980
Clark,489321,,512659,1001980
Tarlac City,952,,46744,47696
Zambales,37153,31027,1395300,1463480
SBMA,37153,31027,1395300,1463480
Angeles City,224481,,188348,412829
Olongapo City,6385,,157657,164042
Region IV-A  CALABARZON,426833,3004,3888788,4318625
Batangas,80493,2281,1086236,1169010
Alitagtag,,,4344,4344
Batangas City,6760,,61374,68134
Balete,,,772,772
Bauan,,,385,385
Calatagan,302,,142224,142526
Cuenca,,,2965,2965
Laurel,,,310,310
Lemery,,,6301,6301
Lian,2798,,37647,40445
Lipa City,15457,,59110,74567
Lobo,,,25138,25138
Mabini,16318,1725,66296,84339
Malvar,2009,,8352,10361
Mataas na Kahoy,,,69254,69254
Nasugbu,10282,,182278,192560
Rosario,592,556,2498,3646
San Juan,859,,337488,338347
Santo Tomas,25089,,48680,73769
Taal,27,,79,106
Talisay,,,29097,29097
Tanauan,,,1644,1644
Cavite,238074,0,465259,703333
Cavite City,8906,,28803,37709
Tagaytay City,198037,,400724,598761
Trece Martirez,31131,,35732,66863
Laguna,98975,146,1172607,1271728
Calamba City,44272,,893467,937739
Los Bañ0s,5119,,90179,95298
Lumban,1882,,86675,88557
Majayjay,,,11960,11960
Nagcarlan,138,54,3798,3990
Rizal,23832,,5107,28939
San Pablo,317,,7326,7643
Sta. Rosa City,23232,,46649,69881
Victoria,183,92,27446,27721
Quezon,3744,577,616580,620901
Agdangan,,,25402,25402
Alamat,,,,
Atimonan,,,64779,64779
Burdeos,,,,
Calauag,,,1342,1342
Catanauan,,,,0
Candelaria,247,444,7031,7722
Dolores,,,,
Gen. Nakar,141,,7108,7249
Gumaca,88,,32240,32328
Jomalig,,,1083,1083
Lucban,2004,,79924,81928
Lucena City,,,13597,13597
Mauban,,,123816,123816
Padre Burgos,,,16622,16622
Pagbilao,,,13630,13630
Plaridel,55,,5277,5332
Perez,,,62,62
Polillo,,133,2885,3018
Quezon,12,,714,726
Real,,,92878,92878
Sampaloc,,,,
San Antonio,,,,
San Francisco,10,,44,54
Sariaya,587,,91828,92415
Tagkawayan,,,2830,2830
Tayabas,,,16733,16733
Tiaong,600,,16755,17355
Rizal,5547,0,548106,553653
Antipolo City,2922,,98473,101395
Baras,12,,6,18
Binangonan,1519,,8638,10157
Morong,,,,
Rodriguez,118,,111782,111900
Tanay,976,,329207,330183
Region IV-B MIMAROPA,377926,4569,1040085,1422580
Marinduque,,-,20408,20408
Boac,,,20408,20408
Occidental Mindoro,6233,-,169677,175910
Abra de Ilog,,,,
Calintaan,,,3402,3402
Looc,6,,282,288
Lubang,175,,32539,32714
Mamburao,321,,15605,15926
Sablayan,5731,,22343,28074
San Jose,0,,95011,95011
Santa Cruz,,,495,495
Others,,,,
Oriental Mindoro,29787,78,128835,158700
Baco,22,,550,572
Bansud,,28,3406,3434
Bongabong,,50,1851,1901
Bulalacao,399,,1817,2216
Calapan City,6042,,73821,79863
Gloria,,,2413,2413
Mansalay,138,,1639,1777
Naujan,,,8734,8734
Pinamalayan,1033,,3830,4863
Pola,,,,
Puerto Galera,21966,0,18855,40821
Roxas,167,,6566,6733
San Teodoro,20,,377,397
Socorro,,,,
Victoria,,,4976,4976
Palawan,97859,-,108989,206848
Araceli,,,,
Busuanga,,,,
