province,foreign,ofw,domestic,total
Mataas na Kahoy,,,32144 ,32144 
Nasugbu,8789 ,334 ,269640 ,278763 
Rosario,,,,
San Juan,1196 ,,313260 ,314456 
Santo Tomas,26083 ,,46909 ,72992 
Taal,,,,
Talisay,,,121515 ,121515 
Tanauan,,,,
Cavite,134528 ,,788316 ,922844 
Cavite City,,,,
Tagaytay City,78852 ,,709672 ,788524 
Trece Martirez,55676 ,,78644 ,134320 
Laguna,79766 ,96 ,1193830 ,1273692 
Calamba City,34132 ,,869819 ,903951 
Cavinti,,,,
Los 85005,157 ,,148007 ,148164 
Lumban,1213 ,,95048 ,96261 
Majayjay,992 ,,4883 ,5875 
Majayjay,114 ,96 ,6275 ,6485 
Rizal,8504 ,,13909 ,22413 
San Pablo,84 ,,1056 ,1140 
Sta. Rosa City,34534 ,,38363 ,72897 
Victoria,36 ,,16470 ,18506 
Quezon,4443 ,260 ,637414 ,642117 
Agdangan,,,24322 ,24322 
Alamat,27 ,,1351 ,1378 
Atimonan,,,18134 ,18134 
Buenavista,,,1408 ,1408 
Burdeos,,,250 ,250 
Calauag,,,170 ,170 
Catanauan,520 ,,11312 ,11832 
Candelaria,209 ,,1356 ,1565 
Dolores,1900 ,,105109 ,107009 
Gen Luna,,,,
Gen. Nakar,,,13349 ,13349 
Guinayangan,,,,
Gumaca,120 ,,12921 ,13041 
Infanta,,,974 ,974 
Jomalig,,,43892 ,43892 
Lucban,,,1826 ,1826 
Lucena City,,,,
Macelolon,,,805 ,805 
Mauban,519 ,,63863 ,64382 
Padre Burgos,,,2689 ,2689 
Pagbilao,,,59325 ,59325 
Panukulan,,,,
Patnanungan,,,564 ,564 
Plaridel,145 ,,921 ,1066 
Perez,,,,
Polillo,,,12395 ,12395 
Quezon,23 ,,26932 ,26955 
Real,,,43892 ,43892 
Sampaloc,,,,
San Andres,,,11607 ,11607 
