x,y,id_country,iso,name_country,id_province,province,id_municity,municity,nl_name_municity,varname_municity,type_municity,engtype_municity,region
120.7897696,17.48011589,177,PHL,Philippines,1,Abra,20,Sallapadan,,,Bayan|Munisipyo,Municipality,Cordillera Administrative Region (CAR)
120.6181248,17.46998529,177,PHL,Philippines,1,Abra,21,San Isidro,,,Bayan|Munisipyo,Municipality,Cordillera Administrative Region (CAR)
120.7550705,17.70734897,177,PHL,Philippines,1,Abra,22,San Juan,,,Bayan|Munisipyo,Municipality,Cordillera Administrative Region (CAR)
120.5138922,17.51845142,177,PHL,Philippines,1,Abra,23,San Quintin,,,Bayan|Munisipyo,Municipality,Cordillera Administrative Region (CAR)
120.6795972,17.60756074,177,PHL,Philippines,1,Abra,24,Tayum,,,Bayan|Munisipyo,Municipality,Cordillera Administrative Region (CAR)
120.9085709,17.83230825,177,PHL,Philippines,1,Abra,25,Tineg,,,Bayan|Munisipyo,Municipality,Cordillera Administrative Region (CAR)
120.8086065,17.25585676,177,PHL,Philippines,1,Abra,26,Tubo,,,Bayan|Munisipyo,Municipality,Cordillera Administrative Region (CAR)
120.6399361,17.39256569,177,PHL,Philippines,1,Abra,27,Villaviciosa,,,Bayan|Munisipyo,Municipality,Cordillera Administrative Region (CAR)
120.6071814,17.60052404,177,PHL,Philippines,1,Abra,1,Bangued,,,Bayan|Munisipyo,Municipality,Cordillera Administrative Region (CAR)
120.8682169,17.37966184,177,PHL,Philippines,1,Abra,2,Boliney,,,Bayan|Munisipyo,Municipality,Cordillera Administrative Region (CAR)
120.7225257,17.52284728,177,PHL,Philippines,1,Abra,3,Bucay,,,Bayan|Munisipyo,Municipality,Cordillera Administrative Region (CAR)
120.8476104,17.4376793,177,PHL,Philippines,1,Abra,4,Bucloc,,,Bayan|Munisipyo,Municipality,Cordillera Administrative Region (CAR)
120.9516546,17.4510241,177,PHL,Philippines,1,Abra,5,Daguioman,,,Bayan|Munisipyo,Municipality,Cordillera Administrative Region (CAR)
120.6219494,17.74433678,177,PHL,Philippines,1,Abra,6,Danglas,,,Bayan|Munisipyo,Municipality,Cordillera Administrative Region (CAR)
120.7262131,17.64898713,177,PHL,Philippines,1,Abra,7,Dolores,,,Bayan|Munisipyo,Municipality,Cordillera Administrative Region (CAR)
120.6546076,17.66236135,177,PHL,Philippines,1,Abra,8,La Paz,,,Bayan|Munisipyo,Municipality,Cordillera Administrative Region (CAR)
120.9807431,17.6973212,177,PHL,Philippines,1,Abra,9,Lacub,,,Bayan|Munisipyo,Municipality,Cordillera Administrative Region (CAR)
120.7806268,17.63282548,177,PHL,Philippines,1,Abra,10,Lagangilang,,,Bayan|Munisipyo,Municipality,Cordillera Administrative Region (CAR)
120.7232441,17.78069736,177,PHL,Philippines,1,Abra,11,Lagayan,,,Bayan|Munisipyo,Municipality,Cordillera Administrative Region (CAR)
120.535443,17.61443496,177,PHL,Philippines,1,Abra,12,Langiden,,,Bayan|Munisipyo,Municipality,Cordillera Administrative Region (CAR)
120.8805445,17.56841711,177,PHL,Philippines,1,Abra,13,Licuan-Baay,,Licuan,Bayan|Munisipyo,Municipality,Cordillera Administrative Region (CAR)
120.6908532,17.32541175,177,PHL,Philippines,1,Abra,14,Luba,,,Bayan|Munisipyo,Municipality,Cordillera Administrative Region (CAR)
121.0276691,17.5871037,177,PHL,Philippines,1,Abra,15,Malibcong,,,Bayan|Munisipyo,Municipality,Cordillera Administrative Region (CAR)
120.7176096,17.41146232,177,PHL,Philippines,1,Abra,16,Manabo,,,Bayan|Munisipyo,Municipality,Cordillera Administrative Region (CAR)
120.6662372,17.53809278,177,PHL,Philippines,1,Abra,17,Pe�arrubia,,,Bayan|Munisipyo,Municipality,Cordillera Administrative Region (CAR)
120.5739268,17.53776862,177,PHL,Philippines,1,Abra,18,Pidigan,,,Bayan|Munisipyo,Municipality,Cordillera Administrative Region (CAR)
120.5856446,17.37552241,177,PHL,Philippines,1,Abra,19,Pilar,,,Bayan|Munisipyo,Municipality,Cordillera Administrative Region (CAR)
125.3763424,8.841944605,177,PHL,Philippines,2,Agusan del Norte,28,Buenavista,,,Bayan|Munisipyo,Municipality,Caraga (Region XIII)
125.5763497,8.914523159,177,PHL,Philippines,2,Agusan del Norte,29,Butuan City,,,Lungsod|Siyudad,City,Caraga (Region XIII)
125.6551439,9.138906292,177,PHL,Philippines,2,Agusan del Norte,30,Cabadbaran City,,,Lungsod|Siyudad,City,Caraga (Region XIII)
125.2539631,8.949645991,177,PHL,Philippines,2,Agusan del Norte,31,Carmen,,,Bayan|Munisipyo,Municipality,Caraga (Region XIII)
125.6063046,9.35254835,177,PHL,Philippines,2,Agusan del Norte,32,Jabonga,,,Bayan|Munisipyo,Municipality,Caraga (Region XIII)
125.5406028,9.430522791,177,PHL,Philippines,2,Agusan del Norte,33,Kitcharao,,,Bayan|Munisipyo,Municipality,Caraga (Region XIII)
125.5429268,9.436023927,177,PHL,Philippines,2,Agusan del Norte,33,Kitcharao,,,Bayan|Munisipyo,Municipality,Caraga (Region XIII)
125.6354988,9.414378215,177,PHL,Philippines,2,Agusan del Norte,33,Kitcharao,,,Bayan|Munisipyo,Municipality,Caraga (Region XIII)
125.4363805,8.722155109,177,PHL,Philippines,2,Agusan del Norte,34,Las Nieves,,,Bayan|Munisipyo,Municipality,Caraga (Region XIII)
125.5460771,9.034315966,177,PHL,Philippines,2,Agusan del Norte,35,Magallanes,,,Bayan|Munisipyo,Municipality,Caraga (Region XIII)
125.5292654,9.410637704,177,PHL,Philippines,2,Agusan del Norte,36,Mainit Lake,,,Waterbody,Waterbody,Caraga (Region XIII)
125.3297624,8.92229562,177,PHL,Philippines,2,Agusan del Norte,37,Nasipit,,,Bayan|Munisipyo,Municipality,Caraga (Region XIII)
125.6582809,9.06244218,177,PHL,Philippines,2,Agusan del Norte,38,Remedios T. Romualdez,,,Bayan|Munisipyo,Municipality,Caraga (Region XIII)
125.6435051,9.262506658,177,PHL,Philippines,2,Agusan del Norte,39,Santiago,,,Bayan|Munisipyo,Municipality,Caraga (Region XIII)
125.552949,9.212422216,177,PHL,Philippines,2,Agusan del Norte,40,Tubay,,,Bayan|Munisipyo,Municipality,Caraga (Region XIII)
125.7703473,8.782251911,177,PHL,Philippines,3,Agusan del Sur,41,Bayugan City,,,Lungsod|Siyudad,City,Caraga (Region XIII)
126.0595071,8.21394739,177,PHL,Philippines,3,Agusan del Sur,42,Bunawan,,,Bayan|Munisipyo,Municipality,Caraga (Region XIII)
125.5441839,8.619606678,177,PHL,Philippines,3,Agusan del Sur,43,Esperanza,,,Bayan|Munisipyo,Municipality,Caraga (Region XIII)
125.6032497,8.314462505,177,PHL,Philippines,3,Agusan del Sur,44,La Paz,,,Bayan|Munisipyo,Municipality,Caraga (Region XIII)
125.6277556,8.141211902,177,PHL,Philippines,3,Agusan del Sur,45,Loreto,,,Bayan|Munisipyo,Municipality,Caraga (Region XIII)
125.8964496,8.693608225,177,PHL,Philippines,3,Agusan del Sur,46,Prosperidad,,,Bayan|Munisipyo,Municipality,Caraga (Region XIII)
126.0774376,8.339024451,177,PHL,Philippines,3,Agusan del Sur,47,Rosario,,,Bayan|Munisipyo,Municipality,Caraga (Region XIII)
125.948999,8.475144132,177,PHL,Philippines,3,Agusan del Sur,48,San Francisco,,,Bayan|Munisipyo,Municipality,Caraga (Region XIII)
125.5103608,8.47365525,177,PHL,Philippines,3,Agusan del Sur,49,San Luis,,,Bayan|Munisipyo,Municipality,Caraga (Region XIII)
126.0223374,8.027642999,177,PHL,Philippines,3,Agusan del Sur,50,Santa Josefa,,,Bayan|Munisipyo,Municipality,Caraga (Region XIII)
125.7742753,8.979710544,177,PHL,Philippines,3,Agusan del Sur,51,Sibagat,,,Bayan|Munisipyo,Municipality,Caraga (Region XIII)
125.8061274,8.429379714,177,PHL,Philippines,3,Agusan del Sur,52,Talacogon,,,Bayan|Munisipyo,Municipality,Caraga (Region XIII)
126.1937178,8.070234015,177,PHL,Philippines,3,Agusan del Sur,53,Trento,,,Bayan|Munisipyo,Municipality,Caraga (Region XIII)
125.7513437,8.039151162,177,PHL,Philippines,3,Agusan del Sur,54,Veruela,,,Bayan|Munisipyo,Municipality,Caraga (Region XIII)
122.4695516,11.51376194,177,PHL,Philippines,4,Aklan,55,Altavas,,,Bayan|Munisipyo,Municipality,Western Visayas (Region VI)
122.3761886,11.52936383,177,PHL,Philippines,4,Aklan,56,Balete,,,Bayan|Munisipyo,Municipality,Western Visayas (Region VI)
122.3316476,11.59801157,177,PHL,Philippines,4,Aklan,57,Banga,,,Bayan|Munisipyo,Municipality,Western Visayas (Region VI)
122.5275799,11.55602202,177,PHL,Philippines,4,Aklan,58,Batan,,,Bayan|Munisipyo,Municipality,Western Visayas (Region VI)
122.4335894,11.59862664,177,PHL,Philippines,4,Aklan,58,Batan,,,Bayan|Munisipyo,Municipality,Western Visayas (Region VI)
122.4315622,11.58407843,177,PHL,Philippines,4,Aklan,58,Batan,,,Bayan|Munisipyo,Municipality,Western Visayas (Region VI)
121.913535,11.82921251,177,PHL,Philippines,4,Aklan,59,Buruanga,,,Bayan|Munisipyo,Municipality,Western Visayas (Region VI)
122.1688245,11.75227591,177,PHL,Philippines,4,Aklan,60,Ibajay,,,Bayan|Munisipyo,Municipality,Western Visayas (Region VI)
122.3506593,11.69418873,177,PHL,Philippines,4,Aklan,61,Kalibo,,,Bayan|Munisipyo,Municipality,Western Visayas (Region VI)
122.3749582,11.68901695,177,PHL,Philippines,4,Aklan,61,Kalibo,,,Bayan|Munisipyo,Municipality,Western Visayas (Region VI)
122.3824198,11.72656002,177,PHL,Philippines,4,Aklan,61,Kalibo,,,Bayan|Munisipyo,Municipality,Western Visayas (Region VI)
122.3845913,11.72730901,177,PHL,Philippines,4,Aklan,61,Kalibo,,,Bayan|Munisipyo,Municipality,Western Visayas (Region VI)
122.3794508,11.72904365,177,PHL,Philippines,4,Aklan,61,Kalibo,,,Bayan|Munisipyo,Municipality,Western Visayas (Region VI)
122.3754285,11.72769116,177,PHL,Philippines,4,Aklan,61,Kalibo,,,Bayan|Munisipyo,Municipality,Western Visayas (Region VI)
122.3846085,11.73106048,177,PHL,Philippines,4,Aklan,61,Kalibo,,,Bayan|Munisipyo,Municipality,Western Visayas (Region VI)
122.3821417,11.73259639,177,PHL,Philippines,4,Aklan,61,Kalibo,,,Bayan|Munisipyo,Municipality,Western Visayas (Region VI)
122.3700107,11.72713121,177,PHL,Philippines,4,Aklan,61,Kalibo,,,Bayan|Munisipyo,Municipality,Western Visayas (Region VI)
122.3776441,11.73527049,177,PHL,Philippines,4,Aklan,61,Kalibo,,,Bayan|Munisipyo,Municipality,Western Visayas (Region VI)
122.3404349,11.66488088,177,PHL,Philippines,4,Aklan,62,Lezo,,,Bayan|Munisipyo,Municipality,Western Visayas (Region VI)
122.3182116,11.67855285,177,PHL,Philippines,4,Aklan,62,Lezo,,,Bayan|Munisipyo,Municipality,Western Visayas (Region VI)
122.2961745,11.41896091,177,PHL,Philippines,4,Aklan,63,Libacao,,,Bayan|Munisipyo,Municipality,Western Visayas (Region VI)
122.2226758,11.46575487,177,PHL,Philippines,4,Aklan,64,Madalag,,,Bayan|Munisipyo,Municipality,Western Visayas (Region VI)
122.3131067,11.73730861,177,PHL,Philippines,4,Aklan,65,Makato,,,Bayan|Munisipyo,Municipality,Western Visayas (Region VI)
122.3101246,11.74305237,177,PHL,Philippines,4,Aklan,65,Makato,,,Bayan|Munisipyo,Municipality,Western Visayas (Region VI)
122.2965155,11.74483845,177,PHL,Philippines,4,Aklan,65,Makato,,,Bayan|Munisipyo,Municipality,Western Visayas (Region VI)
122.2939834,11.75134581,177,PHL,Philippines,4,Aklan,65,Makato,,,Bayan|Munisipyo,Municipality,Western Visayas (Region VI)
